region_code,year,indicator_code,indicator_name,value,unit,region_name,time_period_name,is_outlier,data_source,data_type
110000,2023,A0305,房地产开发商业营业用房投资额,189.978,万平方米,北京,最近5年,False,房地产数据,住宅竣工面积
110000,2023,A0305,房地产开发商业营业用房投资额,189.978,万平方米,北京,最近10年,False,房地产数据,住宅竣工面积
110000,2023,A0305,房地产开发商业营业用房投资额,189.978,万平方米,北京,最近20年,False,房地产数据,住宅竣工面积
110000,2023,A0306,房地产开发企业施工房屋面积,12531.3418,万平方米,北京,最近5年,False,房地产数据,商品房销售面积
110000,2023,A0306,房地产开发企业施工房屋面积,12531.3418,万平方米,北京,最近10年,False,房地产数据,商品房销售面积
110000,2023,A0306,房地产开发企业施工房屋面积,12531.3418,万平方米,北京,最近20年,False,房地产数据,商品房销售面积
110000,2023,A0307,房地产开发企业竣工房屋面积,2112.419,万平方米,北京,最近5年,False,房地产数据,住宅销售面积
110000,2023,A0307,房地产开发企业竣工房屋面积,2112.419,万平方米,北京,最近10年,False,房地产数据,住宅销售面积
110000,2023,A0307,房地产开发企业竣工房屋面积,2112.419,万平方米,北京,最近20年,False,房地产数据,住宅销售面积
110000,2023,A0308,房地产开发企业住宅竣工房屋面积,1164.8924,亿元,北京,最近5年,False,房地产数据,商品房销售额
110000,2023,A0308,房地产开发企业住宅竣工房屋面积,1164.8924,亿元,北京,最近10年,False,房地产数据,商品房销售额
110000,2023,A0308,房地产开发企业住宅竣工房屋面积,1164.8924,亿元,北京,最近20年,False,房地产数据,商品房销售额
110000,2023,A0309,商品房销售面积,1131.817,亿元,北京,最近5年,False,房地产数据,住宅销售额
110000,2023,A0309,商品房销售面积,1131.817,亿元,北京,最近10年,False,房地产数据,住宅销售额
110000,2023,A0309,商品房销售面积,1131.817,亿元,北京,最近20年,False,房地产数据,住宅销售额
110000,2023,A030A,住宅商品房销售面积,818.2508,元/平方米,北京,最近5年,False,房地产数据,商品房平均销售价格
110000,2023,A030A,住宅商品房销售面积,818.2508,元/平方米,北京,最近10年,False,房地产数据,商品房平均销售价格
110000,2023,A030A,住宅商品房销售面积,818.2508,元/平方米,北京,最近20年,False,房地产数据,商品房平均销售价格
110000,2023,A030B,商品房平均销售价格,37595.0,元/平方米,北京,最近5年,True,房地产数据,住宅平均销售价格
110000,2023,A030B,商品房平均销售价格,37595.0,元/平方米,北京,最近10年,True,房地产数据,住宅平均销售价格
110000,2023,A030B,商品房平均销售价格,37595.0,元/平方米,北京,最近20年,True,房地产数据,住宅平均销售价格
110000,2023,A030C,住宅商品房平均销售价格,46783.0,万平方米,北京,最近5年,True,房地产数据,房地产数据
